Player,Projection,Salary,Actual
Derrick Henry,16.0,10000,20.60
Chuba Hubbard,9.6,8000,20.20
Tyjae Spears,8.6,6600,1.70
Miles Sanders,7.8,6200,2.80
Raheem Blackshear,1.6,600,0.00
Saquon Barkley,16.7,12600,6.20
Rhamondre Stevenson,15.0,10400,21.70
Ezekiel Elliott,8.4,7600,7.20
Matt Breida,4.0,2200,2.60
Jashaun Corbin,0.5,400,0.00
Jonathan Taylor,17.4,9800,21.10
Rachaad White,15.8,9000,16.00
Zack Moss,6.7,5600,9.00
Chase Edmonds,5.5,2400,1.10
Travis Etienne,19.2,9000,12.60
Devin Singletary,13.9,7600,13.20
Dameon Pierce,7.2,6200,2.80
D'Ernest Johnson,5.9,2000,7.10
Tank Bigsby,3.3,3200,0.60
Dare Ogunbowale,0.1,200,0.00
Joe Mixon,15.0,10200,8.00
Jaylen Warren,14.6,9400,8.20
Najee Harris,11.7,5800,15.90
Trayveon Williams,2.9,1200,0.00
Alvin Kamara,17.9,12200,15.90
Bijan Robinson,15.6,10000,27.30
Tyler Allgeier,7.9,3600,6.40
Jamaal Williams,4.0,1800,3.00
Cordarrelle Patterson,1.6,1600,4.30
Javonte Williams,14.7,9200,10.10
Jerome Ford,13.9,9800,11.90
Kareem Hunt,11.7,7400,2.20
Samaje Perine,6.7,3800,13.60
Jaleel McLaughlin,6.6,2600,0.40
Pierre Strong,1.8,1800,0.00
Kyren Williams,15.3,9800,41.40
James Conner,14.8,9000,7.20
Royce Freeman,7.8,4400,13.70
Keaontay Ingram,1.0,1800,0.00
Michael Carter,1.0,1000,7.40
Emari Demercado,0.4,2800,1.50
D'Andre Swift,16.7,8800,9.40
James Cook,12.5,6800,16.00
Latavius Murray,6.8,3000,7.80
Kenneth Gainwell,6.4,4400,5.60
Ty Johnson,3.3,2600,1.90
Boston Scott,1.4,1600,1.40
Leonard Fournette,0.9,200,0.00
Isaiah Pacheco,15.8,9000,25.90
Josh Jacobs,15.8,9200,25.50
Clyde Edwards-Helaire,4.7,1400,0.50
Ameer Abdullah,2.5,2400,2.30
Zamir White,1.8,2600,0.00
Austin Ekeler,20.0,10000,10.40
Gus Edwards,12.8,8600,4.70
Keaton Mitchell,9.9,6800,10.90
Joshua Kelley,5.9,3400,3.40
Justice Hill,4.9,1600,3.10
Patrick Ricard,1.6,200,0.00
Khalil Herbert,10.7,6800,5.80
Alexander Mattison,10.1,7400,8.30
Ty Chandler,9.2,5800,2.10
Roschon Johnson,7.1,3000,12.50
C.J. Ham,0.9,200,2.30
Khari Blasingame,0.8,200,0.00
Kene Nwangwu,0.5,200,0.00
Tony Pollard,17.6,9800,17.30
Zach Charbonnet,13.7,6800,16.90
Rico Dowdle,7.4,4200,3.20
DeeJay Dallas,4.3,1200,0.60
Hunter Luepke,0.3,200,0.00
Kenny McIntosh,0.1,200,0.00
